0,0,0,-0.07574336946064318,-100.6624673838125,623.078
1,0,1,8.24908583800203,-94.07134166493937,622.489
2,0,2,16.471194136329803,-87.1888810572085,622.886
3,0,3,24.44993596434085,-79.70244048155176,624.145
4,0,4,32.01166571521865,-71.22880534439639,626.056
5,0,5,38.912045324237035,-61.30258021607607,628.351
6,0,6,44.79584348285282,-49.42882909876417,630.737
7,0,7,49.19997336533913,-35.23566185253182,632.95
8,0,8,51.58245604596089,-18.979895297718805,634.769
9,0,9,51.55688723280294,-1.8769522056187828,636.056
10,0,10,49.13045911506133,14.33388280351295,636.77
11,0,11,44.69919289100255,28.461936148840273,636.963
12,0,12,38.806512071371166,40.27275219559239,636.773
13,0,13,31.912498198659232,50.146702471100014,636.395
14,0,14,24.368540600001808,58.57878273734503,636.051
15,0,15,16.41547516062813,66.03165976342034,635.952
16,0,16,8.224027581484545,72.88546772758299,636.266
17,0,17,-0.07570047400502565,79.45635559594537,637.093
18,0,18,-8.364074634000133,86.02141048275656,638.437
19,0,19,-16.54519923598689,92.87606539037631,640.218
20,0,20,-24.481539249630497,100.3296049448011,642.264
21,0,21,-32.0033397146204,108.76076996569734,644.34
22,0,22,-38.871296415648736,118.62925267477436,646.176
23,0,23,-44.73690578050478,130.42507133365643,647.502
24,0,24,-49.144727380237484,144.52214464845585,648.089
25,0,25,-51.55786394985426,160.68397048897182,647.775
26,0,26,-51.585580857506166,177.73011458170765,646.492
27,0,27,-49.22036489510621,-166.06051781868743,644.284
28,0,28,-44.84287958057211,-151.89439129137915,641.298
29,0,29,-38.98853661275201,-140.03185534468443,637.779
30,0,30,-32.11585342081802,-130.1079729712494,634.028
31,0,31,-24.577453888597695,-121.63306058871925,630.383
32,0,32,-16.61617514674708,-114.14449582423063,627.171
33,0,33,-8.404833787872183,-107.2603891409098,624.67
34,1,0,4.093140270518235,-86.80427993523426,622.657
35,1,1,12.377712356353067,-80.107771227657,622.57
36,1,2,20.49680176520318,-72.96679479003033,623.418
37,1,3,28.292561117802297,-65.04018267331212,625.034
38,1,4,35.56027000793126,-55.90389282816586,627.172
39,1,5,42.00694747114238,-45.059703935774166,629.55
40,1,6,47.21529797745185,-32.052588793630775,631.88
41,1,7,50.67384281086326,-16.740426533033364,633.919
42,1,8,51.881167539122224,0.14668179422167496,635.483
43,1,9,50.62688184522484,17.010080693918177,636.483
44,1,10,47.13405970746372,32.26567703535684,636.925
45,1,11,41.90370916183764,45.22025777749907,636.905
46,1,12,35.462786133002254,55.997138570714874,636.594
47,1,13,28.20823560230932,65.08813743147476,636.205
48,1,14,20.434978307930812,72.97851539464607,635.958
49,1,15,12.34462777378717,80.08930922633046,636.049
50,1,16,4.084428364231884,86.76508147958756,636.612
51,1,17,-4.227079853255362,93.30153836434391,637.703
52,1,18,-12.472608443360285,99.97149812661733,639.281
53,1,19,-20.549594004845503,107.08261297719271,641.22
54,1,20,-28.303629439352303,114.97217814785277,643.313
55,1,21,-35.53442798720652,124.0591164611511,645.304
56,1,22,-41.954853618342696,134.83585723548893,646.918
57,1,23,-47.15500789764815,147.75481854110953,647.9
58,1,24,-50.6305120907687,162.9680267285591,648.051
59,1,25,-51.88111631270345,179.7755240116947,647.255
60,1,26,-50.686253264585176,-163.3901734004009,645.498
61,1,27,-47.25244737634755,-148.1128843781583,642.876
62,1,28,-42.068692381239295,-135.11063574579853,639.587
63,1,29,-35.65755580737434,-124.28179428847186,635.913
64,1,30,-28.416221692725376,-115.14418963191038,632.172
65,1,31,-20.641391747290474,-107.21471566592993,628.705
66,1,32,-12.536723429099194,-100.07117107717532,625.818
67,1,33,-4.251599805488885,-93.36699889734932,623.753
68,2,0,-0.07574336946064318,-79.49246680608724,623.078
69,2,1,8.24908583800203,-72.90134108721409,622.489
70,2,2,16.471194136329803,-66.01888047948324,622.886
71,2,3,24.44993596434085,-58.53243990382649,624.145
72,2,4,32.01166571521865,-50.05880476667112,626.056
73,2,5,38.912045324237035,-40.132579638350805,628.351
74,2,6,44.79584348285282,-28.258830228586188,630.737
75,2,7,49.19997336533913,-14.065660421032902,632.95
76,2,8,51.58245604596089,2.1901050665630546,634.769
77,2,9,51.55688723280294,19.293049225880136,636.056
78,2,10,49.13045911506133,35.50388338123822,636.77
79,2,11,44.69919289100255,49.63193501901825,636.963
80,2,12,38.806512071371166,61.44275618841225,636.773
81,2,13,31.912498198659232,71.31670304882529,636.395
82,2,14,24.368540600001808,79.7487833150703,636.051
83,2,15,16.41547516062813,87.2016603411456,635.952
84,2,16,8.224027581484545,94.05546830530825,636.266
85,2,17,-0.07570047400502565,100.62635617367064,637.093
86,2,18,-8.364074634000133,107.19141106048184,638.437
87,2,19,-16.54519923598689,114.04606596810157,640.218
88,2,20,-24.481539249630497,121.4995986923372,642.264
89,2,21,-32.0033397146204,129.9307705434226,644.34
90,2,22,-38.871296415648736,139.79924642231046,646.176
91,2,23,-44.73690578050478,151.59507874157086,647.502
92,2,24,-49.144727380237484,165.69213839599198,648.089
93,2,25,-51.55786394985426,-178.14603212102642,647.775
94,2,26,-51.585580857506166,-161.09988802829056,646.492
95,2,27,-49.22036489510621,-144.89052407115133,644.284
96,2,28,-44.84287958057211,-130.72439754384305,641.298
97,2,29,-38.98853661275201,-118.86184793676998,637.779
98,2,30,-32.11585342081802,-108.93797239352413,634.028
99,2,31,-24.577453888597695,-100.46306684118315,630.383
100,2,32,-16.61617514674708,-92.97449524650536,627.171
101,2,33,-8.404833787872183,-86.09038856318453,624.67
102,3,0,4.093140270518235,-65.6242799605641,622.657
